Regulator	Interaction	Target	Weight
AT4G36730	regulates	AT5G16540	0.493551767331243
AT1G51140	regulates	AT5G17050	0.285901033582005
AT5G37020	regulates	AT5G19240	0.282652623374076
AT5G37020	regulates	AT5G19790	0.158981460899287
AT5G37020	regulates	AT5G20070	0.150204516482554
AT4G36780	regulates	AT5G21280	0.231083845538479
AT1G51140	regulates	AT5G23730	0.469595838616049
AT4G36780	regulates	AT5G24120	0.188867569236073
AT4G36730	regulates	AT5G24850	0.310743712960847
AT4G36780	regulates	AT5G27889	0.0783132855521075
AT1G51140	regulates	AT5G28510	0.290590204666331
AT1G51140	regulates	AT5G37020	0.320400061885989
AT4G36730	regulates	AT5G39660	0.22050541007454
AT4G36780	regulates	AT5G39660	0.160525373309042
AT5G37020	regulates	AT5G39890	0.0951651968823962
AT4G36780	regulates	AT5G40590	0.691717735073796
AT1G51140	regulates	AT5G43520	0.345319727591265
AT5G37020	regulates	AT5G43630	0
AT5G37020	regulates	AT5G47000	0.179170658760939
AT1G51140	regulates	AT5G47610	0.294926490247833
AT5G37020	regulates	AT5G47610	0.375644334151528
AT1G51140	regulates	AT5G47740	0.477352081680275
AT5G37020	regulates	AT5G48560	0.183010705739534
AT4G36780	regulates	AT5G50100	0.691502019501891
AT1G51140	regulates	AT5G52250	0.473378492059083
AT5G37020	regulates	AT5G52250	0.22901023920549
AT4G36730	regulates	AT5G53970	0.264932604428475
AT4G36730	regulates	AT5G54470	0.221237894468206
AT4G36780	regulates	AT5G55090	0.232214514184966
AT5G37020	regulates	AT5G55620	0.360643856835996
AT4G36730	regulates	AT5G57660	0.286021370961008
AT5G37020	regulates	AT5G58760	0.224773382720426
AT4G36730	regulates	AT5G58770	0.554989855697759
AT1G51140	regulates	AT5G59730	0.420921313992873
AT4G36780	regulates	AT5G59730	0.248470032460424
AT1G51140	regulates	AT5G60850	0.408242700436475
AT5G37020	regulates	AT5G60850	0.696568767479228
AT5G37020	regulates	AT5G61590	0.317749242180152
AT4G36730	regulates	AT5G64170	0.198596601969489
AT4G36780	regulates	AT5G64840	1
AT1G51140	regulates	AT5G65340	0.444377320314436
AT5G37020	regulates	AT5G67110	0.151665741808036
AT5G63470	regulates	AT1G01260	0.554177077759688
AT1G01260	regulates	AT1G07640	0.0705092355188533
AT1G01260	regulates	AT1G08000	0.337498734722265
AT5G63470	regulates	AT1G19180	0.269145722573976
AT5G63470	regulates	AT1G24625	0.127200050924398
AT5G06110	regulates	AT1G26945	0.0743775615617461
