,original_rf_10000,threshold_rf_10000,threshold_gbt_10000,original_rf_1000,threshold_rf_1000,threshold_gbt_1000,original_rf_100,threshold_rf_100,threshold_gbt_100
AT2G28450-AT5G18030,0.0,0.0,0.0,0.0,0.0,0.0,0.365247242529581,0.0,0.0
AT1G51140-AT2G21320,0.0,0.0,0.0,0.0,0.0,0.0,0.516652249746688,0.4736842105263157,0.0
AT1G01260-AT3G61950,0.0,0.3368661667054676,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT1G51140-AT3G59060,0.0,0.4107837153379729,0.0,0.0,0.4432073462498688,0.0,0.0,0.6572378236863697,0.0
AT1G43700-AT1G79310,0.0,0.4468841312412593,0.3665112026072416,0.0,0.4851140978063624,0.3363689860128098,0.741328599856776,0.368421052631579,0.0
AT1G58100-AT1G74950,0.0,0.0,0.0,0.0,0.3980423366616307,0.0,0.0,0.4210526315789474,0.0
AT5G06110-AT3G22275,0.0,0.541331116426221,0.6215245077456262,0.0,0.5410888013994043,0.643082362613832,0.805764970790415,0.0,0.6334410386040672
AT4G36780-AT3G21870,0.477317679048903,0.0,0.0,0.344266287835104,0.0,0.0,0.0,0.0,0.0
AT5G11260-AT1G20520,0.0,0.7674749210447716,0.608856919899645,0.0,0.8334011423852894,0.6090322618892008,0.0,0.8947368421052633,0.5793249231763605
AT5G63470-AT1G78080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3684210526315789,0.0
AT5G37020-AT4G33070,0.0,0.5220382456059904,0.4649231056307643,0.0,0.5383221230910116,0.507431101748265,0.646782415620394,0.3976397013414006,0.5458363852466319
AT1G43700-AT1G69930,0.0,0.9587364717798216,0.8835316592318126,0.0,0.926692315040359,0.8793290235083638,0.934459735533159,0.6842105263157895,0.6949829655860229
AT1G51140-AT5G52250,0.0,0.3359753063936481,0.0,0.473378492059083,0.3315159341381175,0.0,0.0,0.368421052631579,0.0
AT4G36730-AT2G30520,0.0,0.589571319884868,0.5079507383824293,0.0,0.5473082129097423,0.5292841845986694,0.0,0.4210526315789474,0.5353135131155172
AT4G36730-AT1G66330,0.0,0.4936369547542716,0.3922768866482171,0.0,0.4726752747856865,0.4213512865481596,0.0,0.0,0.4830235554241538
AT1G58100-AT2G38340,0.0,0.0,0.0,0.0,0.0,0.0,0.356640235604352,0.0,0.0
AT2G36080-AT3G11020,0.0,0.9185911718077248,0.6453639098616437,0.0,0.9086891857037523,0.6238897395398457,0.0,0.8947368421052633,0.6446640054896551
AT1G30330-AT1G32690,0.543189832481128,0.0,0.0,0.489260503940889,0.0,0.0,0.412834300404233,0.0,0.0
AT1G30330-AT4G17090,0.0,0.4161810498244675,0.3770136666343737,0.0,0.4251053991348032,0.3975128642689471,0.0,0.4736842105263157,0.652883729931724
AT2G28450-AT5G02090,0.0,0.7617888524538883,0.6266825316373253,0.0,0.7674997578069586,0.6200816270223951,0.0,0.7230218980831268,0.590098895888081
AT5G63470-AT3G57920,0.0,0.432951384576404,0.432951384576404,0.0,0.432951384576404,0.432951384576404,0.0,0.432951384576404,0.432951384576404
AT1G58100-AT4G40065,0.0,0.0,0.0,0.0,0.3539847105579325,0.0,0.0,0.4736842105263157,0.0
AT1G51140-AT4G12000,0.0,0.7109771794638603,0.6492526207295994,0.0,0.6952686546291451,0.6357945062233429,0.0,0.7894736842105264,0.6180440108284531
AT5G11260-AT4G01120,0.0,0.5330765801310309,0.4605721454137253,0.0,0.5535051639013454,0.4696898651035809,0.0,0.4736842105263159,0.5001761927289183
AT3G48590-AT2G38340,0.0,0.4027300410496501,0.0,0.0,0.3509861616016624,0.0,0.0,0.0,0.0
AT5G11260-AT3G29000,0.399197789933734,0.0,0.0,0.372219977302551,0.0,0.0,0.0,0.0,0.0
AT1G51140-AT4G23990,0.0,0.477570781669394,0.0,0.0,0.4359722436751562,0.0,0.0,0.5524143080507987,0.0
AT2G36080-AT2G27660,0.0,0.4978760184738383,0.0,0.0,0.4495517515254636,0.0,0.60414133201162,0.4758048119802111,0.0
AT1G01260-AT1G08000,0.0,0.0,0.0,0.337498734722265,0.0,0.0,0.0,0.0,0.0
AT1G04990-AT2G27420,0.0,0.3455856070077905,0.0,0.0,0.4167005711926447,0.0,0.0,0.0,0.0
AT5G06110-AT3G48920,0.0,0.3728456658287377,0.0,0.0,0.3318247775426396,0.0,0.602868663272795,0.0,0.0
AT1G51140-AT5G06980,0.0,0.6349565458553326,0.6895105209600129,0.0,0.575760252205238,0.6857044605409242,0.0,0.6798739999069235,0.6414127579455089
AT4G17230-AT3G50260,0.0,0.4347405407183989,0.0,0.0,0.4664558632753485,0.0,0.0,0.3684210526315789,0.0
AT4G17230-AT2G35930,0.0,0.3576287408982361,0.0,0.0,0.0,0.0,0.0,0.4210526315789474,0.0
AT5G11260-AT1G61840,0.0,0.0,0.0,0.0,0.3465343774501768,0.0,0.0,0.336227022981125,0.0
AT4G17230-AT5G01100,0.0,0.5486082566744197,0.345844968048774,0.0,0.4908891462250746,0.3367014935817786,0.0,0.5958644932336257,0.4016508164971105
AT1G04990-AT5G64750,0.338775785479913,0.0,0.0,0.0,0.386993283240807,0.0,0.0,0.0,0.0
AT3G48590-AT4G29100,0.0,0.0,0.0,0.0,0.0,0.0,0.402784517929905,0.0,0.0
AT1G30330-AT1G18830,0.0,0.766899051063765,0.5967487927235419,0.0,0.7401614379419753,0.605321524978767,0.0,0.6640661861569662,0.6878496426040478
AT1G30330-AT5G57520,0.619889271191326,0.0,0.0,0.60153745761053,0.0,0.0,0.404583787164798,0.0,0.0
AT5G37020-AT1G80340,0.0,0.5662060976661956,0.4996374995065119,0.0,0.58844626792722,0.4914757347193623,0.0,0.0,0.4811930357238791
AT4G36780-AT4G24020,0.0,0.4962887976957765,0.3351872480834775,0.0,0.4970876501776813,0.3505512202328434,0.0,0.4736842105263157,0.0
AT5G37020-AT5G03555,0.0,0.5589812694232016,0.4630641864126583,0.0,0.5597432992416126,0.4448065609118215,0.0,0.3773839659563046,0.4133521772279526
AT5G37020-AT1G42550,0.0,0.3379489306094408,0.0,0.0,0.3358482215582509,0.0,0.0,0.0,0.0
AT1G51140-AT3G47500,0.0,0.5466423048270452,0.5502889129191468,0.0,0.4673373627839177,0.5537406106265995,0.0,0.4120182482946704,0.5469126331459457
